2018.12.11 14:40,1527,jamu****,121.149.***.116,8,20,"ㅋㅋㅋ 역시나 명불허전 똥템 ㅋㅋ
장기투자 드립치더니 4년 내내 하락하고 오르지
단타로만 수익 가능~

반드시 뒤통수 친다는걸 반드시 믿을 수 있다는 점 확실히
믿을 수 있는 회사이긴 하네

아따 라도 회사는 믿을 수 있당께","['terr//민주당 아니였으면 삼바 문제 생기지도 않았어.\n도저히 안되겠으니까 꼬리를 만게 문재인이 잘한거냐? ㅋㅋㅋ\n야 다중아이디사기꾼아. 자작극하다 들킨 주제에 이거 아직도 창피한 줄도 모르네?\n니 다중아이디가 열개는 넘는거 정말 아무도 모르는 줄 아냐? 야 니가 추천 조작질하는거 들통난지가 옛날이다.\n아주 똥원 까이니까 발악을 하네. 니가 수년간 사기친거 하나하나 또 올려줘?\n넌 오래전에 콩밥이나 먹었어야 할 범죄자야.', '회사채는 부채만 늘 뿐이라고.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ\n은행예금 금리 수준으로 , 그것도 10 배의 수요를 창출한 동템\n회사채 수요자가 총 맞았니?\n그들은 너보다 수십배 수백배 정보가 있고 인텔리란다\n인생은 겸허하게 살아야 한단다\n주식도 마찬가지', 'jamu야 어찌 너의 글은 항상 비공감이 공감의 3배~ 4배냐?\n많은 사람의 평가는 객관적 사실이 된단다.\n아는 척, 잘난 척 까불면 항상 루저가 되고...\n\n삼바 토론방에서 삼바는 상폐될 수 밖에 없다\n문재인이 상폐시킨다고 했제\n어리석은 백성 jamu']"
2018.12.11 14:33,800,mari****,39.117.***.196,3,2,줄때 후딱 먹고 튀었어야지~~ㅋㅋ 하루이틀이가 ㅋ,[]
2018.12.11 12:42,836,unhi****,117.111.***.218,7,4,참 대책없는 회사 주주를 견무시하는 듯,"['진짜 이건 너무하네', '발기끝인갑네']"
2018.12.11 11:09,1043,ehdt****,175.210.***.189,5,1,한십년됐냐?? 제길.. 얼마나 갈런지..,[]
2018.12.11 10:23,978,love****,211.36.***.102,2,3,"내일도
모레도
ㅎㅎ
아주좋아요~","['50,000원 만....']"
2018.12.11 10:08,774,yang****,1.217.***.68,2,2,"오 좋아 똥냄새~
역쉬 단타지
똥냄새 겁나 풍기는군",[]
2018.12.11 10:07,618,love****,211.36.***.102,0,0,쫌샀어요~,"['일하게 직접 매매일지 오픈하는 곳 입니다.\n\n전 뇌동매매만 했었는데 이곳에서 기준잡고 투자한 후 지금 수익만 납니다.\n\n진짜와 가짜를 구별하셨음 해요. 복사 붙여 넣기 하면 블로그 갈 수 있고요.\n이웃추가 하시고 며칠간 시간을 두고 보셨음 합니다.\nhttps://blogdaum.shortcm.li/nitUKX', '제가 여러곳을 다녔지만 유일하게 자신의 매매일지를 블로그에 공개적으로 오픈하는 곳 이에요.\n\n저는 뇌동매매 위주의 투자하다 크게 손해봤는데 이곳에서 깨닫고 지금 엄청난 이익을 봤습니다.\n\n하단에 주소를 복사붙여넣기 하셔서 블로그 가보시고요, 이웃추가를 하시고 몇일동안 쭉 보셨음 해요.\n그럼 진짜인지 가짜인지 보이실 거예요.\nhttps://blogdaum.shortcm.li/SextzK']"
2018.12.11 09:47,903,hysu****,203.232.***.71,6,0,거지,"['여기에 들어오지 마삼!\n단타 자신 있는 분만 오세요!\n\n퉤 ~~~ 꺄아악 퉤', '왜 / 폭등 하는 이유가 뭐요?']"
2018.12.11 09:46,861,rhtm****,175.198.***.232,1,7,한큐에 예수금 60% 수익 실화인가요?ㅋㅋㅋㅋㅋㅋㅋ,"['krj5**** 요리사에게 칼은 몸의 일부요 범인에게 칼은 흉기요 나도 미수매매 자유자재로 사용전까지 많이 다쳤답니다 이제 요령이 생겼어요 ㅎㅎ', '그라다 한방에 훅가요 있는돈으로만 합시다']"
2018.12.11 05:43,708,cjsw****,117.20.***.230,1,0,거지들도 천원만 투자하면 만원번다는 그곳맞나여?돈냄새 맡고 왔수다!!!!!!!!!!!!!!!!!!!!!!,[]
2018.12.10 23:23,1165,2125****,112.153.***.171,2,7,떡상 맞죠?,['무조건 상승하니까 마음 푹 놓고 자십쇼~']
2018.12.10 22:11,1543,k2m1****,211.213.***.142,3,5,"회사채 1000억 발행..!!

호재..맞죠?

낼은 갈려나요....ㅎ

https://news-pick.com/8953105/154444717611","['회사채 발행액을 어떻게굴리느냐가 관건이겠지', '똥템의 흔한 패턴 ㅋㅋ 처음보는 아이디와 헛소리 ㅋㅋ\n세상에 부채 늘리는 짓을 호재라고 떠드는 정신나간 찬티도 다 있네?', '발행해서 정관변경하고 신사업이라도 추진해야 호재지 그냥 채권만 발행하면 빚만 는건데 대내외적으로 좋아보일리 없음', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '이런사람도 주식하고있다 ㅋㅋㅋ']"
2018.12.10 21:51,681,psyc****,116.41.***.109,0,1,코스피의 수치다 ㅋㅋㅋㅋ 야 좀더 화끈하게 하려면 우버반대한다며 분신을 하는 정도의 열정은 있어야 하는거 아니냐 불나방꼬신다며 불을 무서워하네 어휴 비린내 개 저같네 걍 마인드가 구세군임 날씨 추우니 구걸은해야하는데 따뜻한데 찾으니 공용공간 점유해서 누구맘대로 개빡도네 하루종일 종쳐가며 구걸하는데 헝그리 정신이 없어,[]
2018.12.10 17:01,628,mari****,39.117.***.196,1,2,개 ㅗ 을 까 라~~~~~ㅗㅗㅗ 메롱~~~ㅋ,[]
2018.12.06 22:01,1001,jamu****,121.149.***.116,6,15,"참고하세요~ 조회 15공감 0비공감 0투자의견 0 의견없음신고
terr**** 58.226.***.79 |작성자글 더보기

------------------------------------------------

이글 올리며 badu 아이디가 했던 것처럼 기사 퍼오면서 찬티사기질 친
동원 알바.

이 시점에서 동원 알바가 미처 몰랐던 것은 아이피 관리였다. 평소에는
아이피 계속 바꾸는게 동원 알바 이 녀석인데

scho 아이디로 써먹는 58.226.***.79 아이피 그대로 써먹은 거 ㅋㅋ

이렇다보니 terr가 쓴 글에 똑같은 아이피로 scho가 terr를 찬양하는 ㅋㅋ
지가 지를 찬양질 했음을 지 스스로 폭로하는 꼴깝 추태쇼가 완성된 것이다.
5만원 깨질때도 자작극쇼 떨더니 아주 수법이 바뀌질 않아요.

글삭하고 아닌 척 badu 아이디 때도 그러했듯이 끝까지 우기며 아주 쌩쇼를 떠는데
글 본사람 한두명이 아니다.
게다가 아무리 아닌척 해보았자 네이버에는 흔적이 남는다.

ㅋㅋㅋ
badu 아이디 때도 그랬지만 진짜 철면피가 따로 없어
사기친거 변명 불가능하니까 이젠 딴 게시판 글로 착한척 하며 여론조작할려드는 니 수법 모를 줄 아냐?
알바 아니랄까봐 게시판 조작이 아주 생활이구만?

야 사기꾼. 니가 그동안 한 짓거리 의미 또 올려준다.

====================================================

※ 허위사실 유포는 자본시장과 금융투자업에 관한 법률 제176조 2항에 해당하는 시세조종행위로써 10년 이하의 징역 또는 그 위반행위로 얻은 이익 또는 회피한 손실액의 1배 이상 3배 이하에 상당하는 벌금에 처할 수 있습니다.

====================================================

야 사기꾼. 여기 주주들이 다혈질이었으면 넌 옛날에 콩밥이야.
한피 주주들에 의하면 너 무려 5년 이상이나 허위사실 유포했다며?",['추악한 동템일당들 인간으로서 최소한에 양심도없음']
