2018.12.19 11:55,290,june****,117.111.***.137,4,11,"오늘은 박회장님의혜안 :: 홍콩법인.경영 과 중국의회사 룽뎬 투자에대해 말씀드리겠읍니다.
박회장님께서이끄시는.미래에셋 은 중국의 동박회사
룽뎬에 1000억을투자하여.지분10프로를 확보했읍니다.
SK도 함께.투자하여.앞으로의성장이 예상되는.세계최고 의 동박제작회사입니다.
아직은 힘들지만
모두 박회장님을믿고.힘냅시다.
터널의끝 이 다가오고있읍니다 ~~~~~","['주가상승 걸림돌 평생 매일 포어시즌 광화문 호텔서 30만원부페나 aodlf cjajrrh qkrguswn chlgusaks roakdsksltoRlemf dusakf ehdqks xhlwlsgofk!!!60000대상투서 인싸잇펀드 수조원 총알받이 해 저런 돌대가리바보녀석들이 다 해처먹으니 금융한국현주소가 우간다 옆이다.......', '정신병원 들가자ㅡ장기주주님들 에게 씨잘데기없는소리 닥치구.', '같은 호남향우회 슨상님이신가 보네 ~~\n주가가 개저ㅅ인데 이제 조용히 찌그러져\n있어주시죠???', '행주고 걸레든 쓰레기마인드로 뭔 증권사 경영한다고 ..\n그리고 또라이 당신 ..안온다메 도저히 안되겠는가보네..\n나같으면 아이디바꿔서 오겠다 부끄러운 것도 모루나?', '거지세끼가 설치니깐 주가가 이꼬라지네']"
2018.12.19 12:26,160,lbm1****,223.62.***.41,7,1,"주축이 미래증권이 아니라 박행주 직속인 미래자산운용이다. 돈되는것은 자산운용 돈 안되는것은 미대증권에게
맡기는것이 박행주 철칙이다. 알겠나 이 똥빠리야",['박현주 이재용 김앤장 미국일본만 같았어도 분식회계 작전 수천번 사형 당해 인허가 취소 없어졌을 놈들인 데 다들 천국에 살고 있다. 엄마 홍라희 무릎에 기대 비욘세허벌지 홀딱공연 침 질질 흘리는 우리재용이 모습 참 천진난만하다.......']
2018.12.19 11:31,244,101q****,211.178.***.134,3,2,에라이.. 잡것.,[]
2018.12.19 11:03,225,temi****,182.239.***.5,2,1,조용하네.....,"['개뿔 오를 기미가 보이질 않고 박현주\n공매세력 찌그리들이 개발악을 하고 있는 듯요 ~~', '욕하는 것도 지쳐서 조용한기라....']"
2018.12.19 10:21,245,gmla****,59.11.***.244,1,1,ㅇ?,[]
2018.12.19 09:08,353,gsh2****,175.223.***.82,1,1,무슨자신감인지...,"['후원하는게 아니고 미대가공매도 주범이구만\n키움하고 검은머리 외국넘들까지..', '박현주회장 놈이 공매도 양아치 세력들에게 후원해\n주고 있다는 더러운 느낌이 강하게 드네요 ~~~']"
2018.12.19 05:56,316,bada****,203.246.***.12,0,4,"박현주 회장이 34.3%로 미래에셋캐피탈을 재배함
다시 미래에셋캐피탈이 18.8%로 미래에셋대우 지배함.

여기서 여러가지 이유로 미래에셋그룹은 지주회사 전환을 꺼려하고, 약간의 편법으로 지주회사 전환을 회피함
그런데 자회사 지분 가치가 총자산의 50%를 넘기는 회사는 지주회사로 전환해야 한다.하지만 미래에셋금융그룹은 현재 지주회사 체제로 전환할 계획이 없다.


질문1: 주식가격이 오르면 총자산도 오르나요??
질문2: 만약 관계가 있다면 대주주 입장에서 주식가격이 오르면 불리한가요??

자기자본을 늘릴려면 주식을 발생하거나, 아님 영업이익을 극대화 하여 잉여자금을 보유하면된다고 알고있음

초보자입니다 악플금지요",[]
2018.12.18 23:09,308,2oro****,121.186.***.227,1,0,"NH투자 증권은 그 자신이 시장의 가장 강력한 거래당사자면서도 수시로 개인계좌를 들여다 보고 있고 고의로 소액주주들의 보유종목들 빠른 구분을 방해하고 빠른 거래의 혼동을 유도하기 위하여 종목의 머릿글자 알파벳과 한글 자모순 배열을 지원하지 않고 중구난방 섞이게 하는 야비한 홈트레이딩 시스템이고 지수가 급변동 예상되는 날일수록 더러 장개시전 홈트레이딩시스템이 가동되지 않거나 접속방해로 실행불가 상태가 되어 중요 오전시간대가 지나고서야 접속거래가 되는 경우도 허다하여 회사의 매우 인위적 거래방해 행위가 있었다고 여겨졌었고 당일 매수분은 잔고조회를 따로 하기 전에는 분할매수 매도량변화를 알수없도록 잔고창 상단에 표시되지도 않게 운영하고 있습니다

NH투자 증권은 매수주문에서 거래가능 주식수 미수가능 주식수 등을 조회하거나 매수주문 주식수를 기입했다 매도전환시 또는 그 반대의 경우에도 표시된 주식수가 그대로 남아있어 투자자의 혼동을 유인하도록 프로그램 되어있고 필요한 매수 등의 숫자를 기입하고 주문할때 팝업창에는 기입한 숫자가 적혀 있지만 실제 매수주문량은 전혀 엉뚱한 Nh가 임의로 설정하는 임의의 주문수량이 투자자의 의도와 다르게 실행되어 순식간에 큰 손실을 안깁니다

가령 A라는 주식을 110주 기입하고 주문하면 주문팝업창에는 110주로 뜨지만 주문실행은 수천주나 일만주가 시장가로 체결되버리고 계좌는 극한의 미수금이 발생되므로 황급히 재매도를 하더라도 호가의 매수대기 물량이 걷어지므로 최소 4~5%의 손실거래가 발생하기 일쑤입니다

B라는 종목을 신용 등의 날짜를 달리하여 여러건을 보유하였다가 특정일에 B에 여러건의 매수 매도를 하며 당일 B종목의 다수주권 500주쯤을 모았다고 할 경우 이전일의 20주인 신용 한개를 클릭하여 매도주문을 넣었을 때 팝업된 주문창에는 해당 신용의 20주 매도로 뜨고 당연한 것이지만 실제 매도는 당일 매수분인 500주까지 함께 520주가 매도 되어 많은 손실을 만들어 냅니다

이는 십여차례 이상 격은 매우 자주 있는 일이고 항의와 보상을 요구하면 본인이 이의제기한것도 여러번인대도 수십만 고객중 그런 주문오류 항의 예가 없다며 화면캡쳐를 왜 하지 않았느냐고 따집니다

도대체 어떤 투자자가 급변하는 시세에서 하루에도 수십 수백번의 거래를 믿을수 없는 NH 홈트레이딩이라고 하여 팝업 사진을 찍어가며 거래할수 있을 것이며
그렇게 한들 오류주문 된 내용이라도 팝업창은 사라지고 엉뚱한 주문량과 체결사항만 남는대 그것을 근거로 회사측의 확인가능한 것은 주문체결 사항이 그러하니 잘모싼 부분이 없다라고 주장하나 투자자는 홈트레이딩 시스템 오류 또는 회사임의의 조작으로 매도창이 싹쓸이 되고 시도한적도 없는 미수물량으로 vi가 걸려 상하가를 막아놓고 있는 상태를 뒤늦게 인지하면 미체결 과매수 분량을 취소하고 걷어지는 매수대기 호가에 재매도 하기도 바쁠수밖에 없습니다

NH투자증권은 홈트레이딩 시스템을 고의로 조악하게 제작 운용하며 의도적으로 여겨지는 주문오류를 만들어 투자자의 큰 손실을 만들고 대 놓고 투자금을 빼았아 가고 있습니다

이는 아주 다수회를 격어왔고 홈트레이딩시스템을 믿을수 없었고 회사가 무슨짓을 할지 모른다 불리익에 두려움이 있었던 탓으로 적절한 시기 일괄매도를 꺼림칙 했다가 어마어마한 계죄파탄으로 이어졌으며 상기의 내용은 틀림없는 사실이며 주문팝업창과 다르게 엉뚱한 주문체결이 된다는 것은 상기와 같은 거래를 하면 쉽게 확인 할 수 있는 바 금감원은 NH투자 증권에 철저한 조사와 책임을 묻고 보상책을 마련해 주십시오",[]
2018.12.18 21:23,452,june****,117.111.***.84,1,7,"오늘은.박회장님 의 혜안 :: 자기자본투자 에대해
말씀드리겠읍니다.
박회장님께서는.뛰어나신 부동산투자감각 으로
여수 경도. 베트남.판교.홍콩의 더센타 빌딩를비롯해
여러 곳 에 자기자본투자를 하셨습니다.
아직 :: 지금당장. 수익 이 나진않지만
곧 있으면 :: 매출로 잡힐것입니다.
좋은약은 쓴 법입니다.
미대 는.좋은약이에요
모두 힘들지만
박회장님의 투자를 믿으며.참고 . 기다려봅시다 ~~ㅎㅎㅎ
박회장님께.투자의지혜를배웁시다",['박회장 무엇알아 주가 못하며서 회장아니지 주가관리해벼신아']
2018.12.18 22:00,279,dbsg****,14.43.***.222,7,0,"이인간은 다시 안나타난다고

한게 도대체 몇번인고?


아무리 ,,,,,,인간이라고 너무하네

상판에 철판을 깔앗네

아니면 돌아이가?






...

..",[]
2018.12.18 21:40,261,lbm1****,223.39.***.220,6,0,뒤지기 전에,[]
2018.12.18 19:59,355,kwan****,123.212.***.47,2,2,"미래 대우 ..
뭐니 ,, 쥐가 사고 팔고 아주그냥 쥐쥐쥐 라라라랄 을 하는구만
미래는 팔고 대우 샀남 ..
구조 조정 한다니까 거시기 허냐 삼숑 증권 갈아 타라 개미들아 ,, 샴숑 증권 이 잘나가네 ..",[]
2018.12.18 14:23,754,fxx7****,223.33.***.174,4,4,"내일부터 오르냐 ?
작업 걸었으면 언제 올릴지 얘기해봐봐",['누가 하도 광고합디까\n그런 밝은 혜안을 가지신분이 누굼니까\n혹 박행주 똥빠라기 쥬닌가요']
